date,shift,pump,raw_text,clean_text,Seal_Issue,Low_Level,Pressure_Issue,Trip_Issue,Flow_Issue,Maintenance_Event,Mode_Event,Total_Failure,event,history,month
2025-05-10,Day,P27B,started p27a but noticed a seal issue. we switched to p27b. | p27b pm is completed. pulled single source loto and breaker is energized.,started p27a but noticed a seal issue. we switched to p27b. | p27b pm is completed. pulled single source loto and breaker is energized.,0,0,0,0,0,1,0,0,Maintenance,2025-05-10 | Day | Maintenance,May-2025
2025-05-10,Day,P308A,"p-308a is still being steamed out at log time, supervisor and maintenance notified to troubleshoot how bad blockage is.","p-308a is still being steamed out at log time, supervisor and maintenance notified to troubleshoot how bad blockage is.",0,0,0,0,0,1,0,0,Maintenance,2025-05-10 | Day | Maintenance,May-2025
2025-05-10,Day,P310A,started p-310 b and pinched back on bypass. | 2: p-310a(pm),started p-310 b and pinched back on bypass. | 2: p-310a(pm),0,0,0,0,0,1,1,0,Maintenance,2025-05-10 | Day | Maintenance,May-2025
2025-05-10,Day,P512A,5: p-512a (mechanical seal),5: p-512a (mechanical seal),1,0,0,0,0,0,0,1,Seal Failure,2025-05-10 | Day | Seal Failure,May-2025
2025-05-10,Day,P5A,"bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled | bin #1- p-5a, seal repair. | bin #1 p-5-a - maint has pulled pump and in shop for repair | bin #1 p-5-a - maint has pulled pump and in shop for repair","bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled | bin #1- p-5a, seal repair. | bin #1 p-5-a - maint has pulled pump and in shop for repair | bin #1 p-5-a - maint has pulled pump and in shop for repair",1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-10 | Day | Seal Failure, Maintenance",May-2025
2025-05-10,Day,P5B,bin 1 p-5-a seal replacement and pm pump has been pulled | p-5b online | p-5b is lined up to weak now. | bin #1 p-5-a - maint has pulled pump and in shop for repair,bin 1 p-5-a seal replacement and pm pump has been pulled | p-5b online | p-5b is lined up to weak now. | bin #1 p-5-a - maint has pulled pump and in shop for repair,1,0,0,0,0,1,1,1,"Seal Failure, Maintenance","2025-05-10 | Day | Seal Failure, Maintenance",May-2025
2025-05-10,Day,P601A,bin #2- p-601a for mechanical seal replacement.,bin #2- p-601a for mechanical seal replacement.,1,0,0,0,0,0,0,1,Seal Failure,2025-05-10 | Day | Seal Failure,May-2025
2025-05-10,Day,P9B,bin #4- p-9b for mechanical seal replacement.,bin #4- p-9b for mechanical seal replacement.,1,0,0,0,0,0,0,1,Seal Failure,2025-05-10 | Day | Seal Failure,May-2025
2025-05-11,Day,P202B,lined up p-202b to be ready for chill down once pressure is on back end. | p-202b bearing seal repair,lined up p-202b to be ready for chill down once pressure is on back end. | p-202b bearing seal repair,1,0,0,0,0,0,0,1,Seal Failure,2025-05-11 | Day | Seal Failure,May-2025
2025-05-11,Day,P26A,"having trouble getting out with p-24 and both p-26 pumps, clean screens and flushed lines","having trouble getting out with p-24 and both p-26 pumps, clean screens and flushed lines",0,0,0,0,0,1,0,0,Maintenance,2025-05-11 | Day | Maintenance,May-2025
2025-05-11,Day,P26B,"having trouble getting out with p-24 and both p-26 pumps, clean screens and flushed lines","having trouble getting out with p-24 and both p-26 pumps, clean screens and flushed lines",0,0,0,0,0,1,0,0,Maintenance,2025-05-11 | Day | Maintenance,May-2025
2025-05-11,Day,P5A,p-5a | bin 1 p-5-a seal repair & pm …not started | bin 1 p-5-a seal repair & pm …not started,p-5a | bin 1 p-5-a seal repair & pm …not started | bin 1 p-5-a seal repair & pm …not started,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-11 | Day | Seal Failure, Maintenance",May-2025
2025-05-11,Day,P5B,p-5b on line | bin 1 p-5-a seal repair & pm …not started,p-5b on line | bin 1 p-5-a seal repair & pm …not started,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-11 | Day | Seal Failure, Maintenance",May-2025
2025-05-12,Day,P400B,firewater pump 400b is down for maintenance. monitors surrounding the spheres will be used in place of compromised deluge heads in case of emergency. safety techs will monitor tk-635 conditions throughout shift.,firewater pump 400b is down for maintenance. monitors surrounding the spheres will be used in place of compromised deluge heads in case of emergency. safety techs will monitor tk-635 conditions throughout shift.,0,0,0,0,0,1,0,0,Maintenance,2025-05-12 | Day | Maintenance,May-2025
2025-05-12,Night,P5A,"bin #1- p-5a, seal repair.","bin #1- p-5a, seal repair.",1,0,0,0,0,0,0,1,Seal Failure,2025-05-12 | Night | Seal Failure,May-2025
2025-05-13,Day,P204C,"incident no. 31775 entered for p-204c leak | swapped to p-204b from p-204c | locked out and clearing with n2, p-204c for repair pump bowl. | bin#6 p204c leak repair.","incident no. 31775 entered for p-204c leak | swapped to p-204b from p-204c | locked out and clearing with n2, p-204c for repair pump bowl. | bin#6 p204c leak repair.",0,0,0,0,0,1,1,0,Maintenance,2025-05-13 | Day | Maintenance,May-2025
2025-05-13,Day,P208A,"adjusted fv-7050, p-208 kickback bypass. currently 30% open.","adjusted fv-7050, p-208 kickback bypass. currently 30% open.",0,0,0,0,1,0,1,1,Flow Issue,2025-05-13 | Day | Flow Issue,May-2025
2025-05-13,Day,P208B,"adjusted fv-7050, p-208 kickback bypass. currently 30% open.","adjusted fv-7050, p-208 kickback bypass. currently 30% open.",0,0,0,0,1,0,1,1,Flow Issue,2025-05-13 | Day | Flow Issue,May-2025
2025-05-13,Day,P208S,"adjusted fv-7050, p-208 kickback bypass. currently 30% open.","adjusted fv-7050, p-208 kickback bypass. currently 30% open.",0,0,0,0,1,0,1,1,Flow Issue,2025-05-13 | Day | Flow Issue,May-2025
2025-05-13,Day,P400B,firewater pump 400b is down for maintenance. monitors surrounding the spheres will be used in place of compromised deluge heads in case of emergency. safety techs will monitor tk-635 conditions throughout shift.,firewater pump 400b is down for maintenance. monitors surrounding the spheres will be used in place of compromised deluge heads in case of emergency. safety techs will monitor tk-635 conditions throughout shift.,0,0,0,0,0,1,0,0,Maintenance,2025-05-13 | Day | Maintenance,May-2025
2025-05-13,Day,P5A,p-5a | bin 1 p-5a | bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,p-5a | bin 1 p-5a | bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-13 | Day | Seal Failure, Maintenance",May-2025
2025-05-13,Day,P5B,bin 1 p-5-a seal replacement and pm pump has been pulled,bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-13 | Day | Seal Failure, Maintenance",May-2025
2025-05-14,Day,P204C,"rotating is replacing o-ring on bowl of p-204c | p-204c | bin 6 p-204c leak repair | maintenance completed work on p204c. purged it with n2, dew point at -80 degrees, puffed purge with process, cleared loto, lined up and ready for service.","rotating is replacing o-ring on bowl of p-204c | p-204c | bin 6 p-204c leak repair | maintenance completed work on p204c. purged it with n2, dew point at -80 degrees, puffed purge with process, cleared loto, lined up and ready for service.",0,0,0,0,0,1,0,0,Maintenance,2025-05-14 | Day | Maintenance,May-2025
2025-05-14,Day,P5A,p-5a | bin 1 p-5a | bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,p-5a | bin 1 p-5a | bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-14 | Day | Seal Failure, Maintenance",May-2025
2025-05-14,Day,P5B,bin 1 p-5-a seal replacement and pm pump has been pulled,bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-14 | Day | Seal Failure, Maintenance",May-2025
2025-05-15,Day,P5A,bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,bin 1 p-5-a seal replacement and pm pump has been pulled | bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-15 | Day | Seal Failure, Maintenance",May-2025
2025-05-15,Day,P5B,bin 1 p-5-a seal replacement and pm pump has been pulled,bin 1 p-5-a seal replacement and pm pump has been pulled,1,0,0,0,0,1,0,1,"Seal Failure, Maintenance","2025-05-15 | Day | Seal Failure, Maintenance",May-2025
